Course_Name,Dependencies
SIADS501,
SIADS502,
SIADS503,"SIADS501"
SIADS505,
SIADS511,
SIADS515,
SIADS516,"SIADS505,SIADS511"
SIADS521,SIADS505
SIADS522,SIADS505
SIADS523,SIADS522
SIADS524,"SIADS502,SIADS522"
SIADS532,"SIADS502,SIADS505,SIADS602"
SIADS542,"SIADS502,SIADS505,SIADS602"
SIADS543,"SIADS502,SIADS505,SIADS602,SIADS542"
SIADS571,
SIADS592,
SIADS593,"SIADS501,SIADS503,SIADS505,SIADS511,SIADS515,SIADS516,SIADS521,SIADS522"
SIADS601,
SIADS602,SIADS502
SIADS611,SIADS511
SIADS622,"SIADS505,SIADS521,SIADS522"
SIADS630,
SIADS631,
SIADS632,"SIADS502,SIADS505,SIADS532"
SIADS642,"SIADS502,SIADS505,SIADS542,SIADS602"
SIADS643,"SIADS502,SIADS505,SIADS532,SIADS542,SIADS602,SIADS632"
SIADS644,"SIADS502,SIADS505,SIADS532,SIADS542,SIADS602,SIADS632,SIADS642"
SIADS652,"SIADS502,SIADS505,SIADS542,SIADS602"
SIADS655,"SIADS502,SIADS505,SIADS532,SIADS542,SIADS602,SIADS515,SIADS632"
SIADS673,"SIADS502,SIADS505,SIADS511,SIADS542,SIADS602,SIADS643"
SIADS680,"SIADS501,SIADS502,SIADS503,SIADS505,SIADS521,SIADS532,SIADS542,SIADS602,SIADS630,SIADS632"
SIADS681,"SIADS696"
SIADS682,
SIADS685,"SIADS501,SIADS502,SIADS503,SIADS505,SIADS515,SIADS532,SIADS542,SIADS602,SIADS630,SIADS632,SIADS655"
SIADS687,"SIADS696"
SIADS688,"SIADS501,SIADS503,SIADS505,SIADS511,SIADS515,SIADS516,SIADS521,SIADS522,SIADS593,SIADS630,SIADS631"
SIADS696,"SIADS501,SIADS503,SIADS505,SIADS511,SIADS515,SIADS516,SIADS521,SIADS592,SIADS524,SIADS532,SIADS542,SIADS543,SIADS630,SIADS632,SIADS642,SIADS643"
SIADS699,"SIADS593,SIADS502,SIADS524,SIADS532,SIADS542,SIADS543,SIADS602,SIADS630,SIADS642,SIADS642,SIADS696,SIADS680,SIADS681,SIADS682,SIADS685,SIADS687,SIADS688"


